sigla_tipo,numero,ano,ementa,id,casa,tema,autor,link
PDL,17,2019,"Altera o Decreto Legislativo nº 276, de 2014, para extinguir a ajuda de custo concedida aos membros do Congresso Nacional por ocasião do início e do final de seus mandatos.",135113,senado,Nao especificado,Flávio Arns REDE / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135113
PDL,22,2019,"Susta o Decreto nº 9.690, de 23 de janeiro de 2019, que altera o Decreto nº 7.724, de 16 de maio de 2012, que regulamenta a Lei nº 12.527, de 18 de novembro de 2011 - Lei de Acesso à Informação.",135154,senado,Nao especificado,Humberto Costa PT / PE e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/135154
PDL,23,2019,"Susta o Decreto nº 9.685, de 15 de janeiro de 2019, que altera o Decreto nº 5.123, de 1º de julho de 2004, que regulamenta a Lei nº 10.826, de 22 de dezembro de 2003, que dispõe sobre registro, posse e comercialização de armas de fogo e munição, sobre o Sistema Nacional de Armas - SINARM e define crimes.",135153,senado,Nao especificado,Humberto Costa PT / PE e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/135153
PDL,24,2019,"Susta o Decreto nº 9.759, de 2019, que “Extingue e estabelece diretrizes, regras e limitações para colegiados da administração pública federal.”",136406,senado,Nao especificado,Eliziane Gama CIDADANIA / MA,https://www25.senado.leg.br/web/atividade/materias/-/materia/136406
PDL,25,2019,"Exclui da Área Indígena WAIMIRIATROARI o leito da BR 174, no Estado de Roraima.",135165,senado,Nao especificado,Mecias de Jesus REPUBLICANOS / RR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135165
PDL,27,2019,"Susta o art. 1º do Decreto nº 9.690, de 23 de janeiro de 2019, que altera os §§ 1º a 4º do art. 30 do Decreto nº 7.724, de 16 de maio de 2012, que regulamenta a Lei nº 12.527, de 18 de novembro de 2011 - Lei de Acesso à Informação.",135177,senado,Nao especificado,Rogério Carvalho PT / SE,https://www25.senado.leg.br/web/atividade/materias/-/materia/135177
PDL,28,2019,"Exclui da Terra Indígena São Marcos a área urbana da sede do Município de Pacaraima, no Estado de Roraima.",135175,senado,Nao especificado,Mecias de Jesus REPUBLICANOS / RR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135175
PDL,39,2019,"Susta, nos termos do inciso V do art. 49 da Constituição Federal, os efeitos do Decreto nº 9.690, de 23 de janeiro de 2019, que altera o Decreto nº 7.724, de 16 de maio de 2012, que regulamenta a Lei nº 12.527, de 18 de novembro de 2011 - Lei de Acesso à Informação.",135348,senado,Nao especificado,Fabiano Contarato REDE / ES,https://www25.senado.leg.br/web/atividade/materias/-/materia/135348
PDL,47,2019,"Susta o Decreto nº 9.546, de 30 de outubro de 2018, que “Altera o Decreto nº 9.508, de 24 de setembro de 2018, para excluir a previsão de adaptação das provas físicas para candidatos com deficiência e estabelecer que o critério de aprovação dessas provas poderá seguir os mesmos critérios aplicados aos demais candidatos”",135497,senado,Nao especificado,Mara Gabrilli PSDB / SP,https://www25.senado.leg.br/web/atividade/materias/-/materia/135497
PDL,68,2019,"Susta o Decreto nº 9.731, de 16 de Março de 2019 que Dispensa visto de visita para os nacionais da Comunidade da Austrália, do Canadá, dos Estados Unidos da América e do Japão e altera o Decreto nº 9.199, de 20 de novembro de 2017, que regulamenta a Lei nº 13.445, de 24 de maio de 2017, que institui a Lei de Migração.",135811,senado,Nao especificado,Randolfe Rodrigues REDE / AP,https://www25.senado.leg.br/web/atividade/materias/-/materia/135811
PDL,69,2019,Dispõe sobre a realização de plebiscito acerca da reeleição para membros das Casas Legislativas.,135821,senado,Nao especificado,Luiz do Carmo MDB / GO e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/135821
